id,data,link,frase,texto,leia_mais,fonte,origem,qtd_repeticoes,datas_repeticoes,tema,tipo_origem
"13532","30.dez.2022","https://www.aosfatos.org/todas-as-declaracoes-de-bolsonaro/13532/","“No Nordeste, nós concluímos a obra da transposição.”","Bolsonaro oculta que, quando assumiu a Presidência, 96% das obras da transposição do rio São Francisco já estavam concluídas. Em março de 2017, o Ministério da Integração Nacional afirmou que o Eixo Leste já estava pronto e só faltavam ser entregues obras do Eixo Norte. Além do projeto previsto desde 2013, o governo anunciou que pretende retomar a proposta original da transposição, que totaliza 669 quilômetros de obras e 3.000 quilômetros de canais e adutoras auxiliares. As novas estruturas, no entanto, ainda não foram concluídas. É fato, no entanto, que houve uma série de alterações nos prazos de entrega das obras da transposição, licitadas em 2007 e prometidas inicialmente para 2012.","https://www.aosfatos.org/noticias/checamos-o-segundo-debate-presidencial/","https://web.archive.org/web/20170702050754/http://www.integracao.gov.br/web/projeto-sao-francisco/o-andamento-das-obras","https://www.facebook.com/watch/live/?ref=watch_permalink&v=1109039999734715","REPETIDA 7 VEZES.","2022: 18.set, 20.set, 21.set, 24.set, 07.out, 30.dez.","TEMA: INFRAESTRUTURA","ORIGEM: LIVE"
"13533","30.dez.2022","https://www.aosfatos.org/todas-as-declaracoes-de-bolsonaro/13533/","“Olha a nossa escolha técnica de ministros.”","Além de ministros terem sido escolhidos por critérios políticos desde o início do governo, nem todos eram formados ou tinham experiência na área de atuação da pasta a que foram nomeados. Gilson Machado (PL-PE), ministro do Turismo até março deste ano, é veterinário e produtor rural, e o seu maior vínculo com o setor turístico era o fato de ser proprietário de pousada em Alagoas. João Roma (PL-BA), que chefiou o Ministério da Cidadania também até março, é deputado federal e foi alçado ao cargo após um acordo com o Republicanos, partido ao qual era filiado à época. Abraham Weintraub (PMB-SP), ex-titular da Educação, era economista e professor da Unifesp, com produção acadêmica voltada à Previdência Social, sem experiência na pasta que comandava. Já Eduardo Pazuello (PL-RJ), terceiro ministro da Saúde de Bolsonaro, era general do Exército e atuava na área logística. Entre os ministros com formação na área em que atuam, há também aqueles que se cacifaram para o cargo por influência política. Tereza Cristina (PP-MS), engenheira agrônoma, se tornou ministra por ter sido líder da Frente Parlamentar para a Agricultura, que apoiou Bolsonaro na campanha de 2018. Ricardo Salles (PL-SP), ex-ministro do Meio Ambiente, também foi indicado pelos ruralistas. Já a bancada evangélica emplacou Damares Alves (Republicanos-DF), pastora, no Ministério da Mulher, da Família e dos Direitos Humanos. Para manter o apoio das Forças Armadas, Bolsonaro também indicou ministros vinculados à caserna, mas sem experiência na área, como Bento Albuquerque, almirante de esquadra da Marinha que comandou a pasta de Minas e Energia.","","https://valor.globo.com/politica/noticia/2021/02/12/indicado-pelo-centrao-deputado-joao-roma-e-nomeado-ministro-da-cidadania.ghtml","https://www.facebook.com/watch/live/?ref=watch_permalink&v=1109039999734715","REPETIDA 73 VEZES.","2019: 01.jan, 02.jan, 22.jan, 07.mar, 23.mar, 02.abr, 05.mai, 11.jun, 30.jun, 01.ago, 25.out, 30.out, 27.nov, 02.dez. | 2020: 01.jan, 03.jan, 04.jan, 16.jan, 10.mar, 05.abr, 08.jul, 29.ago, 24.set, 08.out, 15.out, 16.out, 22.out, 06.nov, 29.nov, 15.dez. | 2021: 07.abr, 26.abr, 14.mai, 12.jun, 01.jul, 20.jul, 21.jul, 29.jul, 31.jul, 14.ago, 02.set, 05.set, 14.out, 27.out. | 2022: 06.jan, 14.jan, 11.fev, 16.mar, 18.mar, 13.abr, 25.abr, 26.abr, 12.mai, 25.jul, 26.jul, 30.jul, 14.ago, 19.ago, 22.ago, 23.ago, 28.ago, 13.set, 29.set, 04.out, 14.out, 20.out, 27.out, 30.dez.","TEMA: EQUIPE DE GOVERNO","ORIGEM: LIVE"
"13534","30.dez.2022","https://www.aosfatos.org/todas-as-declaracoes-de-bolsonaro/13534/","“[Ações do governo Bolsonaro] 33% de reajuste no piso da educação.”","O reajuste de 33% citado por Bolsonaro se refere ao piso salarial de professores da educação básica. A lei 11.738, sancionada pelo presidente eleito Lula (PT) em 2008, determina que o piso salarial seja corrigido de acordo com o investimento por aluno previsto no Fundeb (Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação) — portanto, ao conceder o reajuste, Bolsonaro estava cumprindo um dispositivo legal. Em 2020, durante o governo Bolsonaro, as regras do Fundeb foram alteradas para permitir uma maior participação da União na alocação de recursos, além de aumentar para pelo menos 70% os valores investidos no pagamento de profissionais da educação básica. A educação básica é formada por educação infantil, ensino fundamental e ensino médio, que, segundo a Constituição Federal, são deveres de estados e municípios.","","https://www.opovo.com.br/noticias/politica/2022/02/03/piso-dos-professores-entenda-o-papel-de-bolsonaro-prefeitos-e-governadores-no-reajuste.html","https://www.facebook.com/watch/live/?ref=watch_permalink&v=1109039999734715","REPETIDA 6 VEZES.","2022: 07.out, 15.out, 21.out, 23.out, 30.dez.","TEMA: ECONOMIA, EDUCAÇÃO","ORIGEM: LIVE"
"13535","30.dez.2022","https://www.aosfatos.org/todas-as-declaracoes-de-bolsonaro/13535/","“Nós alimentamos mais de 1 bilhão de pessoas pelo mundo.”","Bolsonaro afirma mais uma vez que o agronegócio brasileiro alimenta 1 bilhão de pessoas pelo mundo, o que é falso. Segundo estudo publicado pela Embrapa (Empresa Brasileira de Pesquisa Agropecuária) em março de 2021, a produção e a exportação de grãos e de carne bovina brasileira foi responsável por alimentar 772,6 milhões de pessoas em todo o mundo em 2020. Descontados 212,3 milhões de brasileiros, os autores do estudo concluem que 560,3 milhões de cidadãos de outros países são beneficiados pela produção brasileira de alimentos. Os dados são ligeiramente superiores aos estimados pela FAO (Organização das Nações Unidas para Alimentação e Agricultura), que apontam um total de 628,2 milhões de pessoas alimentadas com produtos brasileiros. O Departamento de Agricultura dos EUA calcula que esse número seja de 625 milhões de pessoas, e o IGC (International Grains Council) indica um total de 636,9 milhões. Não foram encontrados dados mais recentes que respaldem a afirmação do presidente.","","https://www.embrapa.br/busca-de-noticias/-/noticia/59784047/o-agro-brasileiro-alimenta-800-milhoes-de-pessoas-diz-estudo-da-embrapa","https://www.facebook.com/watch/live/?ref=watch_permalink&v=1109039999734715","REPETIDA 50 VEZES.","2021: 06.mar, 15.mai, 10.set, 17.set, 21.set, 22.set, 23.set, 01.nov, 15.nov, 16.nov. | 2022: 17.mar, 23.mar, 19.abr, 29.abr, 11.mai, 10.jun, 30.jun, 05.jul, 18.jul, 21.jul, 23.jul, 24.jul, 25.jul, 11.ago, 16.ago, 18.ago, 19.ago, 23.ago, 24.ago, 31.ago, 07.set, 11.set, 12.set, 13.set, 16.set, 18.set, 20.set, 29.set, 04.out, 07.out, 15.out, 17.out, 30.dez.","TEMA: ECONOMIA","ORIGEM: LIVE"
"13536","30.dez.2022","https://www.aosfatos.org/todas-as-declaracoes-de-bolsonaro/13536/","“Quando foi possível e passou a ter vacina no mercado — porque em 2020 não tinha vacina (...)”","Bolsonaro sugere mais uma vez que não havia vacinas de Covid-19 disponíveis para compra em 2020, o que é falso. Números do portal Our World in Data mostram que, até 31 de dezembro daquele ano, cerca de 30 países haviam não só negociado vacinas como também já iniciado suas campanhas de imunização contra o novo coronavírus. À época, os EUA já tinham aplicado ao menos a primeira dose em 2,8 milhões de habitantes, e Israel chegava a 1 milhão de pessoas vacinadas. Além disso, a frase contradiz as próprias ações do governo federal: em julho de 2020, foi fechado um contrato de transferência tecnológica e aquisição de 100 milhões de doses produzidas pela Universidade de Oxford em parceria com a AstraZeneca.","","https://ourworldindata.org/explorers/coronavirus-data-explorer?tab=table&zoomToSelection=true&time=earliest..2020-12-31&pickerSort=desc&pickerMetric=total_vaccinations_per_hundred&Metric=People+vaccinated&Interval=Cumulative&Relative+to+Population=false&Align+outbreaks=false&country=USA~GBR~ISR~DEU~ARE~ARG~FRA","https://www.facebook.com/watch/live/?ref=watch_permalink&v=1109039999734715","REPETIDA 36 VEZES.","2021: 10.jun, 15.jun, 26.jul, 30.jul, 31.jul, 02.ago, 04.ago, 05.ago, 23.ago, 24.ago, 30.ago, 10.set, 16.set, 24.set, 30.set, 14.out, 25.out, 10.nov, 23.nov, 08.dez, 09.dez, 11.dez, 23.dez, 31.dez. | 2022: 10.jan, 16.fev, 20.jul, 29.set, 16.out, 30.dez.","TEMA: CORONAVÍRUS","ORIGEM: LIVE"
"13537","30.dez.2022","https://www.aosfatos.org/todas-as-declaracoes-de-bolsonaro/13537/","“Eu no ano passado, ou melhor, em 2020, li um trecho da revista Exame que falava sobre Covid e HIV. Eu li duas linhas da revista Exame e tô sendo processado. Tô sendo tratado como criminoso.”","Bolsonaro faz menção a um episódio ocorrido em outubro de 2021, quando difundiu, em uma das suas lives, a desinformação de que vacinas aumentariam o risco de infecção pelo HIV. Apesar de afirmar que estaria lendo o título de uma matéria da revista Exame, o presidente apareceu na transmissão ao vivo com a reprodução de um texto do blog Before It's News, conhecido por propagar desinformação. Não há, ao longo da live, qualquer menção à revista Exame, que veiculou, em 2020, informações sobre um artigo publicado no periódico científico Lancet sobre a possível relação entre um tipo específico de adenovírus usado em algumas vacinas contra a Covid-19 e uma maior chance de infecção pelo HIV. O texto, no entanto, além de não ser conclusivo, citava apenas o adenovírus de número 5, usado em vacinas não aprovadas no Brasil, como a Sputnik V. É importante ressaltar ainda que os autores baseiam suas hipóteses não em estudos sobre a vacina contra a Covid-19, mas em análises feitas em 2007 na busca por possíveis vacinas contra a Aids. Não há nenhum indício de que qualquer uma das vacinas contra a Covid-19 aumente o risco de infecção pelo vírus HIV. Foi aberto um inquérito em decorrência das alegações, no qual a Polícia Federal concluiu que Bolsonaro cometeu os crimes de “atentado contra a paz pública” e “incitação ao crime” ao espalhar a desinformação.","","https://g1.globo.com/tecnologia/noticia/2021/10/25/live-bolsonaro.ghtml","https://www.facebook.com/watch/live/?ref=watch_permalink&v=1109039999734715","REPETIDA 5 VEZES.","2021: 11.dez. | 2022: 18.jul, 08.ago, 30.dez.","TEMA: CORONAVÍRUS, IMPRENSA","ORIGEM: LIVE"
"13538","30.dez.2022","https://www.aosfatos.org/todas-as-declaracoes-de-bolsonaro/13538/","“Mesmo com a Covid e com a seca, criamos praticamente 3 milhões de empregos até 2021.”","Devido às mudanças na metodologia do Caged (Cadastro Geral de Empregados e Desempregados) em 2020, não é possível comparar o total de empregos formais de 2021 com os dados de anos anteriores. Em janeiro de 2020, o Caged passou a considerar outras fontes de informação e a captar um volume mais amplo de dados. Antes, eram contabilizados apenas empregados contratados sob regime CLT, enquanto a metodologia atual também considera trabalhadores temporários, avulsos e cedidos, agentes públicos e dirigentes sociais.","","http://pdet.mte.gov.br/images/Novo_CAGED/Nota%20t%C3%A9cnica%20substitui%C3%A7%C3%A3o%20CAGED_26_05.pdf","https://www.facebook.com/watch/live/?ref=watch_permalink&v=1109039999734715","","","TEMA: ECONOMIA","ORIGEM: LIVE"
"13539","30.dez.2022","https://www.aosfatos.org/todas-as-declaracoes-de-bolsonaro/13539/","“A Petrobras chegou a se endividar em R$ 900 bilhões [em gestões petistas].”","O endividamento da Petrobras não foi de R$ 900 bilhões em governos petistas, como afirma Bolsonaro. Em 2003, os resultados divulgados pela petrolífera à Bovespa (Bolsa de Valores de São Paulo), atual B3, indicavam endividamento total de R$ 63,791 bilhões. Corrigido pelo IPCA (Índice de Preços ao Consumidor Amplo), o montante foi de R$ 176 bilhões. Já em 2015, último ano completo do PT no poder, a dívida era de R$ 492,8 bilhões — com a atualização da inflação, R$ 705,5 bilhões. A diferença, portanto, é de R$ 407,2 bilhões em valores nominais e de R$ 505,4 bilhões se corrigido pela inflação, montante muito menor que o citado por Bolsonaro.","","https://www.investidorpetrobras.com.br/resultados-e-comunicados/central-de-resultados/","https://www.facebook.com/watch/live/?ref=watch_permalink&v=1109039999734715","REPETIDA 77 VEZES.","2022: 31.jan, 01.fev, 02.fev, 03.fev, 04.fev, 08.fev, 09.fev, 16.fev, 18.fev, 21.fev, 23.fev, 24.fev, 25.fev, 07.mar, 10.mar, 16.mar, 21.mar, 24.mar, 31.mar, 04.abr, 06.abr, 11.abr, 12.abr, 14.abr, 16.abr, 25.abr, 29.abr, 15.mai, 16.mai, 17.mai, 19.mai, 25.mai, 30.mai, 02.jun, 09.jun, 17.jun, 19.jun, 27.jun, 01.jul, 05.jul, 07.jul, 24.jul, 25.jul, 27.jul, 30.jul, 01.ago, 08.ago, 09.ago, 13.ago, 25.ago, 28.ago, 03.set, 06.set, 26.set, 29.set, 04.out, 06.out, 14.out, 15.out, 16.out, 20.out, 23.out, 26.out, 27.out, 28.out, 30.dez.","TEMA: ECONOMIA","ORIGEM: LIVE"
"13540","30.dez.2022","https://www.aosfatos.org/todas-as-declaracoes-de-bolsonaro/13540/","“E nós, quanto mais diminuímos impostos, ou desoneramos, nós arrecadamos mais.”","É fato que o governo federal tem arrecadado mais, apesar das desonerações recentes em produtos como combustíveis. De acordo com o Tesouro Nacional, a receita líquida (valor arrecadado menos as transferências para estados e municípios) do governo central entre janeiro e novembro deste ano foi de R$ 1,68 trilhão, contra R$ 1,4 trilhão no mesmo período do ano anterior. No entanto, não é possível estimar o impacto das desonerações na carga tributária, que é a relação entre os tributos recolhidos e o PIB, dado que é divulgado anualmente. Em 2021, as reduções de impostos aprovadas até então não foram eficazes na redução da carga tributária, que foi a maior registrada desde 2013. Ela correspondia em 2021 a 22,48% do PIB, contra os 22,49% registrados em 2013, na gestão de Dilma Rousseff (PT). Já a receita líquida naquele ano foi de R$ 1,57 trilhão, o que equivale a 18,2% do PIB (Produto Interno Bruto), maior porcentagem desde 2013. Também é necessário considerar o peso da inflação, que puxa para cima o valor nominal da arrecadação de impostos: o IPCA (Índice de Preços ao Consumidor Amplo) apresentou alta de 5,90% em 12 meses em novembro.","","https://www.tesourotransparente.gov.br/publicacoes/carga-tributaria-do-governo-geral/2021/114?ano_selecionado=2021","https://www.facebook.com/watch/live/?ref=watch_permalink&v=1109039999734715","REPETIDA 6 VEZES.","2022: 06.out, 21.out, 26.out, 28.out, 30.dez.","TEMA: ECONOMIA","ORIGEM: LIVE"
"13531","26.dez.2022","https://www.aosfatos.org/todas-as-declaracoes-de-bolsonaro/13531/","“Frisamos que também zeramos o imposto de produtos da cesta básica (...) ”","O governo Bolsonaro não zerou todos os impostos federais que incidem sobre produtos da cesta básica, mas sim os tributos de importação de alguns itens, como carnes de boi e de frango, farinha de trigo e produtos de padaria. A medida entrou em vigor em maio e vale até 31 de dezembro deste ano. A cesta básica é composta por 13 itens: carne, leite, feijão, arroz, farinha, batata, tomate, pão, café, banana, açúcar, óleo e manteiga. Desses, nove já haviam tido suas alíquotas de PIS/Cofins zeradas antes da gestão Bolsonaro, de acordo com a tabela da Receita Federal: as carnes de boi e de frango, a farinha de trigo, o arroz, o pão, o café, o açúcar, o óleo e a manteiga.","","http://sped.rfb.gov.br/arquivo/show/1643","https://twitter.com/jairbolsonaro/status/1607336521065009152","REPETIDA 7 VEZES.","2022: 22.ago, 03.set, 08.set, 13.set, 14.set, 27.out, 26.dez.","TEMA: ECONOMIA","ORIGEM: TWITTER"
